"Deskero Settings","Impostazioni Deskero"
"Launch Deskero","Avvia Deskero"
"Settings","Impostazioni"
"General Setting","Impostazioni generali"
"Your Deskero Domain","Dominio in Deskero"
"Your Deskero Domain. Example: https://yourdomain.deskero.com","Il tuo dominio in Deskero. Esempio: https://iltuodominio.deskero.com"
"Client ID","Client ID"
"Find your Client ID in Deskero on Settings > Security Settings > API management","Trova il tuo Client ID su Deskero nel menù Configurazioni > Sicurezza > Gestione API"
"API Token","Token API"
"Find your API Token in Deskero on Settings > Security Settings > API management","Trova il tuo Token SSO su Deskero nel menù Configurazioni > Sicurezza > Gestione API"
"Widget Setting","Impostazioni widget"
"Widget Active","Widget Attivo"
"If YES, the widget will be shown on all pages.","Se YES, il widget apparirà su tutte le pagine."
"Widget Code","Codice widget"
"Login to Deskero, go to Settings > Feedback Widget and copy here your widget embed code.","Accedi a Deskero, vai nel menù Configurazioni > Widget per feedback e copia qui il tuo codice da incorporare."
"SSO Setting","Impostazioni SSO"
"SSO Token","Token SSO"
"Find your SSO Token in Deskero on Settings > Security Settings > Shared authentication","Trova il tuo Token SSO su Deskero nel menù Configurazioni > Sicurezza > Autenticazione condivisa"
"Agent Email","Email agente"
"Your Agent Email in Deskero","La tua email da operatore in Deskero"
"New Ticket","Nuovo Ticket"
"Create Ticket","Crea Ticket"
"Customer Email","Email del cliente"
"Customer Name","Nome del cliente"
"Subject","Oggetto"
"Type","Tipo"
"Description","Descrizione"
"Ticket <b>#%s</b> has been created!","Il ticket <b>#%s</b> è stato creato!"
"View ticket in Deskero","Leggi il ticket su Deskero"
"Error in ticket creation!","Errore durante la creazione del ticket"
"Customer not found!","Cliente non trovato!"
"Can't connect to Deskero API!","Connessione alle API Deskero non riuscita!"
"Oops! ","Oops! "
"Customer Email is required!","L'email del cliente è obbligatoria!"
"Customer Email is not a valid address!","L'email del cliente non è un indirizzo valido!"
"Customer Name is required!","Il nome del cliente è obbligatorio!"
"Type is required!","Il tipo di ticket è obbligatorio!"
"Subject is required!","L'oggetto è obbligatorio!"
"Description is required!","La descrizione è obbligatoria!"
"No data sended!","Nessun dato inviato!"
"To launch Deskero, set YOUR DESKERO DOMAIN, TOKEN SSO and AGENT EMAIL!","Per avviare Deskero, imposta il TUO DOMINIO IN DESKERO, il TOKEN SSO e l'EMAIL AGENTE!"